row_kind,experiment_id,source_experiment_id,rule_type,rule_label,description,objective,objective_value,triangle_area,var_restore,gini_restore,p90_restore,min_final_cri,p90_access_restore,share_access_initial,share_access_final,time_avg_share_access,cri_w_e,cri_w_a,cri_threshold,critical_access_threshold,is_primary_setting,is_pareto,session_dir,run_dir,sequence
optimized,baseline_reference,,baseline,Baseline sequence,Baseline repair sequence used as the reference point.,triangle,310.8298714981072,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,1.0,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.9,0.9,1,1,,results/tradeoff_20260321_162818/reference,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_triangle,,single,Single objective: triangle,Pure efficiency objective that minimizes resilience-triangle loss.,triangle,305.77872521178585,305.77872521178585,59294.88258326664,0.3809061313212536,617.8070710000001,1.0,617.8070710000001,0.2916666666666667,1.0,0.40479413138129433,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_162818/single_triangle_20260321_162819,results/tradeoff_20260321_162818/single_triangle_20260321_162819/best,"[(9, 10), 28, 11, (11, 14), 15, 32, 17]"
optimized,single_var_restore,,single,Single objective: var_restore,Equity objective that reduces dispersion in restoration times.,equity:var_restore,39523.8364309399,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,1.0,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_162818/single_var_restore_20260321_162821,results/tradeoff_20260321_162818/single_var_restore_20260321_162821/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_gini_restore,,single,Single objective: gini_restore,Equity objective that reduces restoration-time inequality using Gini.,equity:gini_restore,0.3510473908196947,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,1.0,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_162818/single_gini_restore_20260321_162823,results/tradeoff_20260321_162818/single_gini_restore_20260321_162823/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_p90_restore,,single,Single objective: p90_restore,Equity objective that shortens the time by which 90% of zones recover.,equity:p90_restore,521.9500632999999,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,1.0,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_162818/single_p90_restore_20260321_162825,results/tradeoff_20260321_162818/single_p90_restore_20260321_162825/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_maximin_final_cri,,single,Single objective: maximize minimum final CRI,Equity via maximin: improve the worst-served zone by maximizing the minimum final CRI.,equity:maximin_final_cri_loss,0.0,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,1.0,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_162818/single_maximin_final_cri_20260321_162827,results/tradeoff_20260321_162818/single_maximin_final_cri_20260321_162827/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_p90_access_restore,,single,Single objective: p90_access_restore,Critical-access objective that shortens the time by which 90% of zones regain access.,critical_access:p90_access_restore,617.8070710000001,305.77872521178585,59294.88258326664,0.3809061313212536,617.8070710000001,1.0,617.8070710000001,0.2916666666666667,1.0,0.40479413138129433,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_162818/single_p90_access_restore_20260321_162829,results/tradeoff_20260321_162818/single_p90_access_restore_20260321_162829/best,"[(9, 10), 28, 11, (11, 14), 15, 32, 17]"
optimized,weighted_gini_restore_l025,,weighted_sum,Weighted sum: triangle + 0.25 * equity:gini_restore,Weighted trade-off objective. triangle + 0.25 * equity:gini_restore.,weighted_sum,1.25,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,1.0,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_162818/weighted_gini_restore_l025_20260321_162832,results/tradeoff_20260321_162818/weighted_gini_restore_l025_20260321_162832/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,guardrail_gini_restore,,guardrail,Guardrail on equity:gini_restore,Triangle minimization with a fairness guardrail. Guardrail on equity:gini_restore.,guardrail,17863.199412482874,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,1.0,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_162818/guardrail_gini_restore_20260321_162834,results/tradeoff_20260321_162818/guardrail_gini_restore_20260321_162834/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,weighted_p90_restore_l025,,weighted_sum,Weighted sum: triangle + 0.25 * equity:p90_restore,Weighted trade-off objective. triangle + 0.25 * equity:p90_restore.,weighted_sum,1.25,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,1.0,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_162818/weighted_p90_restore_l025_20260321_162836,results/tradeoff_20260321_162818/weighted_p90_restore_l025_20260321_162836/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
